repeat,payload,attempted,feasible,pareto_count,JT_min,JT_max,JE_min,JE_max,elapsed_seconds
0,1.0,40,40,12,0.0030956331358104,0.6554610926772527,0.0,2.5224586169807663,27.823205874999985
0,2.0,40,38,11,0.0036256047577144,0.5387979926916886,0.4021145335429149,5.6124959469257885,31.078143874998204
0,3.0,40,37,13,0.0039772034257854,0.5104920891724225,1.1174742847933907,9.690658929211754,36.40411295899685
1,1.0,40,40,11,0.0031013875027958,0.6554610926772527,0.0,2.5226439384695296,32.69026795800164
1,2.0,40,40,15,0.0034450722076739,0.6554610926772527,0.0,5.615339575226222,39.18969412500155
1,3.0,40,38,15,0.0039059628567086,0.4649866624914809,1.6000324163707926,9.691544397037092,32.607612208004866
2,1.0,40,40,13,0.003098415976565,0.6554610926772527,0.0,2.523072785245105,27.14945420799631
2,2.0,40,40,13,0.0034416971505687,0.5045289904947124,0.5330633734457109,5.615972845756988,38.13922391699453
2,3.0,40,38,12,0.0046968063255104,0.6554622655486718,0.1370918534920119,9.672603264783657,41.43777183300699
3,1.0,40,40,16,0.003096649721857,0.6554610926772527,0.0,2.5222992980423355,29.386846041001263
3,2.0,40,40,18,0.0034397757687226,0.4014507960311355,1.398703116730696,5.614974201685933,31.90278208399832
3,3.0,40,38,14,0.0038458710582955,0.0304569654545404,9.246015812990798,9.691820398061289,25.92497737499798
4,1.0,40,40,12,0.0032240498936501,0.6554610926772527,0.0,2.521413714867355,26.670348375002504
4,2.0,40,40,11,0.0034449678989437,0.6554610914543544,3.896126246458383e-08,5.614388988829129,32.54275062499801
4,3.0,40,37,14,0.0039097290806414,0.2206583472233315,5.6125265708033325,9.689544733973188,26.696410750002546
