repeat,payload,N0,N_local,N_feasible,N_ret,R_P,N_ret_union,R_P_union,HV_transfer,HV_local,L_HV,HV_status,N_transfer_outside_ref,N_local_outside_ref,status,parameter_status
0,1.0,12,12,12,12,100.0,12,100.0,18.3773315446602,18.3773315446602,0.0,ok,0,0,ok,CANONICAL FINAL | simulation
0,2.0,12,11,12,12,100.0,12,100.0,16.519367679881714,17.498423469794034,5.595108562793533,ok,0,0,ok,CANONICAL FINAL | simulation
0,3.0,12,13,12,11,91.66666666666669,11,91.66666666666669,14.142577776556832,15.934843635676852,11.247464362356707,ok,0,0,ok,CANONICAL FINAL | simulation
1,1.0,11,11,11,11,100.0,11,100.0,18.403252918292036,18.403252918292036,0.0,ok,0,0,ok,CANONICAL FINAL | simulation
1,2.0,11,15,11,10,90.9090909090909,9,81.81818181818181,16.605505042456137,17.624764081712428,5.7831074193718175,ok,0,0,ok,CANONICAL FINAL | simulation
1,3.0,11,15,11,10,90.9090909090909,9,81.81818181818181,14.330291307464975,15.76026696862292,9.07329592832963,ok,0,0,ok,CANONICAL FINAL | simulation
2,1.0,13,13,13,13,100.0,13,100.0,18.353645044843457,18.353645044843457,0.0,ok,0,0,ok,CANONICAL FINAL | simulation
2,2.0,13,13,13,12,92.3076923076923,9,69.23076923076923,16.438442997944108,17.64459945650243,6.8358392693001955,ok,0,0,ok,CANONICAL FINAL | simulation
2,3.0,13,12,13,10,76.92307692307692,9,69.23076923076923,13.962668809568452,16.40047755784759,14.864254651613194,ok,0,0,ok,CANONICAL FINAL | simulation
3,1.0,16,16,16,16,100.0,16,100.0,18.404056154928767,18.404056154928767,0.0,ok,0,0,ok,CANONICAL FINAL | simulation
3,2.0,16,18,16,16,100.0,15,93.75,16.60814746220545,17.073178580056254,2.723752438189927,ok,0,0,ok,CANONICAL FINAL | simulation
3,3.0,16,14,16,15,93.75,12,75.0,14.336166311160769,10.706880615604154,-33.89676065190556,ok,0,0,ok,CANONICAL FINAL | simulation
4,1.0,12,12,12,12,100.0,12,100.0,18.321762380401413,18.321762380401413,0.0,ok,0,0,ok,CANONICAL FINAL | simulation
4,2.0,12,11,12,10,83.33333333333333,10,83.33333333333333,16.32245540573896,16.94455330415127,3.671373846484943,ok,0,0,ok,CANONICAL FINAL | simulation
4,3.0,12,14,12,10,83.33333333333333,10,83.33333333333333,13.7121761885281,13.626669611243605,-0.6274943161015772,ok,0,0,ok,CANONICAL FINAL | simulation
