repeat,payload,JE_CT,JE_CE,CE_energy_saving_vs_CT_pct
0,1.0,2.5975951282900227,2.473803533910918,4.765623134679802
0,2.0,5.693771679795342,5.571925240986025,2.139995167732055
0,3.0,9.78055483316076,9.66775599771729,1.1532968974421427
1,1.0,2.5982310171707876,2.447146616544561,5.814894812191973
1,2.0,5.6941713785588774,5.419110666142018,4.830566102253037
1,3.0,9.780715315183354,9.286254415468296,5.055467660401776
2,1.0,2.5965457363836033,2.4766339152673265,4.618128594310328
2,2.0,5.691390904450737,5.492068167998163,3.5021796920802126
2,3.0,9.775864657541286,9.43905525593462,3.445315717897586
3,1.0,2.598341134969705,2.474200453779604,4.77768986986956
3,2.0,5.694172404659855,5.572786774945066,2.131751922640282
3,3.0,9.780844273054282,9.66911137359683,1.14236456831512
4,1.0,2.5965938920989524,2.484593655818031,4.3133520656318876
4,2.0,5.692893153745792,5.526777461775746,2.917948527819214
4,3.0,9.779933707205616,9.520079536520935,2.6570136205854555
