repeat,role,payload,delta_JT,delta_JE,same_feasibility,energy_balance_residual
0,CT,1.0,1.7893672654700765e-15,-8.092221293054536e-08,True,-1.2937830667913985e-06
0,CB,1.0,1.0304257447302234e-15,3.156586103614245e-12,True,-2.9538149703967065e-11
0,CE,1.0,6.970118926474811e-15,4.236166972759747e-12,True,-3.5588754165871705e-11
0,CT,2.0,1.6150275561344074e-15,-8.062060441460517e-08,True,-1.2899706558489044e-06
0,CB,2.0,4.538903974893316e-15,2.9451996397256153e-12,True,-3.211741983477623e-11
0,CE,2.0,4.1043557441611256e-15,4.2525982735242e-12,True,-3.640576728969336e-11
0,CT,3.0,1.4816706889186904e-15,-8.040531440656196e-08,True,-1.2872880792436092e-06
0,CB,3.0,7.502679033599691e-16,2.97895041967422e-12,True,-3.5296210398882977e-11
0,CE,3.0,2.9004576518332215e-15,4.6416204213528545e-12,True,-3.832600903308503e-11
1,CT,1.0,1.8043292554503765e-15,-8.360477066204908e-08,True,-1.3006051626796022e-06
1,CB,1.0,7.488801245791876e-15,2.873701276939755e-12,True,-2.9132585233071495e-11
1,CE,1.0,3.9898639947466563e-16,-2.2410979738651804e-09,True,-3.485412281012401e-08
1,CT,2.0,1.6065707791890205e-15,-8.32592812471944e-08,True,-1.2968510020305857e-06
1,CB,2.0,5.566727634409574e-15,2.5206503551089554e-12,True,-3.1851077331168653e-11
1,CE,2.0,1.700029006457271e-16,-2.2218964446096834e-09,True,-3.477061694123762e-08
1,CT,3.0,1.461721368944957e-15,-8.299990739146779e-08,True,-1.2942188665210352e-06
1,CB,3.0,-7.7021722333370235e-16,2.602362769721367e-12,True,-3.539923909556819e-11
1,CE,3.0,7.73686670285656e-16,-2.2053185944059805e-09,True,-3.471331910809283e-08
2,CT,1.0,1.6154612370034016e-15,-7.690866032916688e-08,True,-1.250843051470163e-06
2,CB,1.0,3.3328374782204406e-15,-2.000843934979457e-09,True,-3.235597867412565e-08
2,CE,1.0,-1.214306433183765e-16,-1.280855865815056e-08,True,-2.0709872489144132e-07
2,CT,2.0,1.3530843112619095e-15,-7.664457246647771e-08,True,-1.2471261552349233e-06
2,CB,2.0,2.957269845671462e-15,-1.9928014793890725e-09,True,-3.227740652533839e-08
2,CE,2.0,4.0072112295064244e-16,-1.2758445855354239e-08,True,-2.0655763810495387e-07
2,CT,3.0,1.2784912017949068e-15,-7.646160327112739e-08,True,-1.2445147408168822e-06
2,CB,3.0,2.65672900345848e-15,-1.9873969137051972e-09,True,-3.222370259514662e-08
2,CE,3.0,3.642919299551295e-16,-1.2723548437065801e-08,True,-2.0617984830550995e-07
3,CT,1.0,1.855069917122698e-15,-8.207958002159899e-08,True,-1.3140570677694363e-06
3,CB,1.0,4.597017211338539e-15,3.0824232055692846e-12,True,-2.897210249486193e-11
3,CE,1.0,5.277028813921447e-15,4.3369752233957115e-12,True,-3.5712766077722335e-11
3,CT,2.0,1.6193643648243494e-15,-8.177249455343372e-08,True,-1.3101769947843067e-06
3,CB,2.0,3.670674875166924e-15,3.1228353236656403e-12,True,-3.153266536770616e-11
3,CE,2.0,4.4998726966838376e-15,4.331646152877511e-12,True,-3.6589731244873747e-11
3,CT,3.0,1.4860074976086324e-15,-8.15507483764577e-08,True,-1.3074516531652591e-06
3,CB,3.0,2.5335636366641268e-15,2.5153212845907547e-12,True,-3.458744401996228e-11
3,CE,3.0,2.213507155346406e-15,4.60786964140425e-12,True,-3.855116226247901e-11
4,CT,1.0,1.865911938847553e-15,-8.080606050953065e-08,True,-1.2754014007687609e-06
4,CB,1.0,3.288168348714038e-15,-1.336168065080301e-09,True,-2.0990717108926304e-08
4,CE,1.0,1.2923689896027213e-16,-1.1014704259793007e-08,True,-1.729554935936406e-07
4,CT,2.0,1.6688039838896884e-15,-8.053154676446184e-08,True,-1.2716954290725724e-06
4,CB,2.0,2.8037468180475145e-15,-1.3306937773904792e-09,True,-2.0941412826047667e-08
4,CE,2.0,2.7582103268031233e-16,-1.0972788899721309e-08,True,-1.7251341588586655e-07
4,CT,3.0,1.5384828827569308e-15,-8.034120924094168e-08,True,-1.2690969006801112e-06
4,CB,3.0,2.5205532105943007e-15,-1.3272032362010577e-09,True,-2.0908289322107976e-08
4,CE,3.0,1.8214596497756474e-16,-1.09439071138695e-08,True,-1.7220502268600058e-07
