repeat,payload,budget_objective,budget,optimized_objective,achieved
0,1.0,JT,0.0039772034257854,JE,2.5171026038654167
0,2.0,JT,0.0039772034257854,JE,5.609966186327396
0,3.0,JT,0.0039772034257854,JE,9.690658929211754
0,1.0,JT,0.13060592486244466,JE,2.3881866619146175
0,2.0,JT,0.13060592486244466,JE,5.097854054317102
0,3.0,JT,0.13060592486244466,JE,8.583217389974198
0,1.0,JT,0.2572346462991039,JE,2.3881866619146175
0,2.0,JT,0.2572346462991039,JE,3.479925305621444
0,3.0,JT,0.2572346462991039,JE,6.737766738620772
0,1.0,JT,0.3838633677357632,JE,2.3881866619146175
0,2.0,JT,0.3838633677357632,JE,3.479925305621444
0,3.0,JT,0.3838633677357632,JE,5.256684020146151
0,1.0,JT,0.5104920891724225,JE,2.3881866619146175
0,2.0,JT,0.5104920891724225,JE,3.479925305621444
0,3.0,JT,0.5104920891724225,JE,1.1174742847933907
0,1.0,JE,1.1174742847933907,JT,0.6554610926772527
0,2.0,JE,1.1174742847933907,JT,0.5387979926916886
0,3.0,JE,1.1174742847933907,JT,0.5104920891724225
0,1.0,JE,1.4687203678402345,JT,0.6554610926772527
0,2.0,JE,1.4687203678402345,JT,0.5387979926916886
0,3.0,JE,1.4687203678402345,JT,0.5104920891724225
0,1.0,JE,1.8199664508870785,JT,0.6554610926772527
0,2.0,JE,1.8199664508870785,JT,0.5387979926916886
0,3.0,JE,1.8199664508870785,JT,0.5104920891724225
0,1.0,JE,2.1712125339339226,JT,0.6554610926772527
0,2.0,JE,2.1712125339339226,JT,0.5387979926916886
0,3.0,JE,2.1712125339339226,JT,0.5104920891724225
0,1.0,JE,2.5224586169807663,JT,0.0030956331358104
0,2.0,JE,2.5224586169807663,JT,0.5387979926916886
0,3.0,JE,2.5224586169807663,JT,0.5104920891724225
1,1.0,JT,0.0039059628567086,JE,2.516732063585169
1,2.0,JT,0.0039059628567086,JE,5.6112809690160965
1,3.0,JT,0.0039059628567086,JE,9.691544397037092
1,1.0,JT,0.11917613776540169,JE,2.3449025229001768
1,2.0,JT,0.11917613776540169,JE,4.6844942601484645
1,3.0,JT,0.11917613776540169,JE,8.364141436037368
1,1.0,JT,0.23444631267409477,JE,2.3449025229001768
1,2.0,JT,0.23444631267409477,JE,3.899781075811029
1,3.0,JT,0.23444631267409477,JE,6.851712585081782
1,1.0,JT,0.34971648758278784,JE,2.3449025229001768
1,2.0,JT,0.34971648758278784,JE,2.768827015737471
1,3.0,JT,0.34971648758278784,JE,6.851712585081782
1,1.0,JT,0.4649866624914809,JE,2.3449025229001768
1,2.0,JT,0.4649866624914809,JE,2.768827015737471
