repeat,payload,attempted,feasible,pareto_count,JT_min,JT_max,JE_min,JE_max,elapsed_seconds
0,1.0,40,36,8,0.0015615883301409,0.6554610926772527,0.0,2.59871427033874,32.332624457994825
0,2.0,40,36,11,0.0025793167782933,0.6554610926772527,0.0,5.630010830456763,54.87290254200343
0,3.0,40,33,16,0.0032663569549536,0.6554610926772527,0.0,9.704264768137756,60.01739758400072
1,1.0,40,36,10,0.0015508860059188,0.6554610926772527,0.0,2.5991961971980073,34.06477987499966
1,2.0,40,35,8,0.003131502535676,0.6554610926772527,0.0,5.614209669853411,59.66021424999053
1,3.0,40,34,15,0.0038482387433824,0.6554610926772527,0.0,9.699721187224588,79.68759941699682
2,1.0,40,37,10,0.0016772790674993,0.6554610926772527,0.0,2.5994416243246143,28.556211999995867
2,2.0,40,36,9,0.0027078243516031,0.6554610926772527,0.0,5.6495566263511545,57.45854029200564
2,3.0,40,35,11,0.0031745984889582,0.6554610926772527,0.0,9.855113809870833,71.26799549999123
3,1.0,40,35,15,0.0015461490099064,0.6554610926772527,0.0,2.5978602786940543,36.82232762500644
3,2.0,40,35,9,0.0021715353584294,0.6554610926772527,0.0,5.68016713600827,55.45234333400731
3,3.0,40,34,15,0.0027016841604813,0.6554610926772527,0.0,9.714682189642708,73.84803041700798
4,1.0,40,36,8,0.0015494175187494,0.6554610926772527,0.0,2.5970726566537814,30.948302415999933
4,2.0,40,35,13,0.0040775643917948,0.6554610926772527,0.0,5.610613617314732,48.24860833300045
4,3.0,40,33,15,0.003798166155113,0.6554610926772527,0.0,9.700753801107457,65.55602179199923
