controller_id,kp,ki,kd,repeat,phase,payload,parameter_status,JT,JE,JT_std,JE_std,JT_sem2,JE_sem2,feasible,numerical_failure,constraint_margin,max_current,saturation_fraction,terminal_error,n_rollouts,violation,role,practical_satisfied,practical_JT_max,nominal_selection_JT,nominal_selection_JE,selection_status,delta_JT,delta_JT_pct,delta_JE,delta_JE_pct
r0_p1_c0021,400.0,194.59868853157545,0.0,0,test,1.0,CANONICAL FINAL | simulation,0.001566755907809,2.5975951282900227,5.541236080360531e-06,0.0021032205190656,3.0705297298289347e-12,4.423536551818587e-07,True,False,-0.5496298192337811,1.7294214941422803,0.0,-0.0012427459630969,10,,CT,True,0.05,0.0015615883301409,2.59871427033874,ok,0.0,0.0,0.0,0.0
r0_p1_c0015,0.0,192.02347004420923,0.0,0,test,1.0,CANONICAL FINAL | simulation,0.0041614582497982,2.4804647598454252,5.856337525120108e-05,0.0009882817396647,3.429668920812991e-10,9.767007969548087e-08,True,False,-0.6655633373349698,0.8199213697509413,0.0,0.0048827291227394,10,,CB,True,0.05,0.0041546900451558,2.4805361859133996,ok,0.0,0.0,0.0,0.0
r0_p1_c0024,0.0,41.08279400053982,0.0,0,test,1.0,CANONICAL FINAL | simulation,0.0214335397302503,2.473803533910918,8.966488243582598e-06,0.0001268068746462,8.039791142230494e-12,1.6079983457543486e-09,True,False,-0.6615507739306408,0.8041215810673831,0.0,0.009536320390142,10,,CE,True,0.05,0.0214288634473312,2.4738829553942763,ok,0.0,0.0,0.0,0.0
r0_p1_c0021,400.0,194.59868853157545,0.0,0,test,2.0,CANONICAL FINAL | simulation,0.0017431110379293,5.693771679795342,5.2506723157707805e-06,0.0022728005444818,2.756955976760169e-12,5.165622314996846e-07,True,False,-0.3844794028803809,2.363599092939337,0.0,-0.0009590439152684,10,,CT,True,0.05,0.0015615883301409,2.59871427033874,ok,0.0001763551301203,11.256069260141578,3.096176551505319,119.1939620530282
r0_p1_c0015,0.0,192.02347004420923,0.0,0,test,2.0,CANONICAL FINAL | simulation,0.0043384757497726,5.566991681303162,5.981704209461272e-05,0.0019022585405946,3.57807852494867e-10,3.618587555265257e-07,True,False,-0.6185744024353885,1.4646742946481082,0.0,0.0052493483026517,10,,CB,True,0.05,0.0041546900451558,2.4805361859133996,ok,0.0001770174999743,4.253737256236074,3.086526921457737,124.43341148898564
r0_p1_c0024,0.0,41.08279400053982,0.0,0,test,2.0,CANONICAL FINAL | simulation,0.0216695272305612,5.571925240986025,7.844348352089946e-06,0.0002233618491128,6.153380106893625e-12,4.989051563912556e-09,True,False,-0.6241391096445981,1.4433058189647436,0.0,0.0070859924033767,10,,CE,True,0.05,0.0214288634473312,2.4738829553942763,ok,0.0002359875003108,1.101019725536947,3.0981217070751073,125.23717686574666
r0_p1_c0021,400.0,194.59868853157545,0.0,0,test,3.0,CANONICAL FINAL | simulation,0.001951174066126,9.78055483316076,4.994204490500038e-06,0.0026351134224724,2.494207849293074e-12,6.94382274929448e-07,True,False,-0.2199219739975443,2.9954996198494297,0.0,-0.0006774654429063,10,,CT,True,0.05,0.0015615883301409,2.59871427033874,ok,0.0003844181583169,24.535931627956867,7.182959704870736,276.5234515049012
r0_p1_c0015,0.0,192.02347004420923,0.0,0,test,3.0,CANONICAL FINAL | simulation,0.004557493103206,9.64655103284448,6.0543245362269943e-05,0.0029144932230188,3.6654845589960207e-10,8.494270747022995e-07,True,False,-0.4506324278057385,2.109571477225964,0.0,0.0056165753398435,10,,CB,True,0.05,0.0041546900451558,2.4805361859133996,ok,0.0003960348534077,9.516732588317549,7.166086272999054,288.90095070109453
r0_p1_c0024,0.0,41.08279400053982,0.0,0,test,3.0,CANONICAL FINAL | simulation,0.0222244247681476,9.66775599771729,6.990406938690989e-06,0.000316960382956,4.886578916849912e-12,1.0046388436366709e-08,True,False,-0.4573841189911551,2.083644983073964,0.0,0.00498838290232,10,,CE,True,0.05,0.0214288634473312,2.4738829553942763,ok,0.0007908850378972,3.689941315577588,7.193952463806372,290.8053273104196
r1_p1_c0014,400.0,200.0,0.0,1,test,1.0,CANONICAL FINAL | simulation,0.0015476681842289,2.5982310171707876,4.0472625647813366e-06,0.0020336015512884,1.6380334268280405e-12,4.135535269402975e-07,True,False,-0.5559167423008136,1.7052797095648755,0.0,-0.0011519733664527,10,,CT,True,0.05,0.0015508860059188,2.5991961971980073,ok,0.0,0.0,0.0,0.0
r1_p1_c0036,0.0,200.0,0.0,1,test,1.0,CANONICAL FINAL | simulation,0.0039998888422673,2.486534355961539,5.012619679375319e-05,0.0008206387783339,2.512635605006073e-10,6.734480045054151e-08,True,False,-0.6663942907546595,0.8176329875917505,0.0,0.0033131964649742,10,,CB,True,0.05,0.0040142130659466,2.486597685717744,ok,0.0,0.0,0.0,0.0
