controller_id,kp,ki,kd,repeat,phase,payload,parameter_status,JT,JE,JT_std,JE_std,JT_sem2,JE_sem2,feasible,numerical_failure,constraint_margin,max_current,saturation_fraction,terminal_error,n_rollouts,violation,normalization_JT_min,normalization_JT_max,normalized_JT,normalization_JE_min,normalization_JE_max,normalized_JE,utopia_distance,role,selection_status,practical_JT_max,practical_candidate_count,selection_rule
r0_p1_c0021,400.0,194.59868853157545,0.0,0,selection,1.0,CANONICAL FINAL | simulation,0.0015615883301409,2.59871427033874,6.038277619957171e-06,0.0033034123044582,7.292159323135126e-12,2.1825065706492924e-06,True,False,-0.5570949010373667,1.7007555800165115,0.0,-0.0011599801677371,5,,0.0015615883301409,0.0214288634473312,0.0,2.4738829553942763,2.59871427033874,1.0,1.0,CT,ok,0.05,7,practical_normalized_utopia_distance
r0_p1_c0015,0.0,192.02347004420923,0.0,0,selection,1.0,CANONICAL FINAL | simulation,0.0041546900451558,2.4805361859133996,3.809491312874884e-05,0.0005563483062386,2.9024448125738414e-10,6.190468757093083e-08,True,False,-0.6656094335849023,0.8183463042572942,0.0,0.0048525770039057,5,,0.0015615883301409,0.0214288634473312,0.130521256675567,2.4738829553942763,2.59871427033874,0.05329776844923346,0.14098386633170956,CB,ok,0.05,7,practical_normalized_utopia_distance
r0_p1_c0024,0.0,41.08279400053982,0.0,0,selection,1.0,CANONICAL FINAL | simulation,0.0214288634473312,2.4738829553942763,1.5553853545655933e-05,0.0001437047568594,4.8384472023942725e-11,4.130211428804723e-09,True,False,-0.6615474698753522,0.8039904304562722,0.0,0.0095121711352175,5,,0.0015615883301409,0.0214288634473312,1.0,2.4738829553942763,2.59871427033874,0.0,1.0,CE,ok,0.05,7,practical_normalized_utopia_distance
r1_p1_c0014,400.0,200.0,0.0,1,selection,1.0,CANONICAL FINAL | simulation,0.0015508860059188,2.5991961971980073,5.4560691054474005e-06,0.002743510366495,5.9537380166835186e-12,1.505369826213153e-06,True,False,-0.5914036308970828,1.569010057355202,0.0,-0.0011685528600625,5,,0.0015508860059188,0.0174117875569572,0.0,2.4471368698971987,2.5991961971980073,1.0,1.0,CT,ok,0.05,9,practical_normalized_utopia_distance
r1_p1_c0036,0.0,200.0,0.0,1,selection,1.0,CANONICAL FINAL | simulation,0.0040142130659466,2.486597685717744,5.2562788169070146e-05,0.000431181580226,5.52569340021308e-10,3.7183511025250334e-08,True,False,-0.6664560883548101,0.8177316075583043,0.0,0.0033049653727313,5,,0.0015508860059188,0.0174117875569572,0.15530813630619428,2.4471368698971987,2.5991961971980073,0.25950934099874545,0.3024329930224323,CB,ok,0.05,9,practical_normalized_utopia_distance
r1_p1_c0017,65.53073092449537,0.0,0.0,1,selection,1.0,CANONICAL FINAL | simulation,0.0174117875569572,2.4471368698971987,4.537458358024269e-06,0.0001403538299587,4.11770567016086e-12,3.939839516818705e-09,True,False,-0.668886578699943,0.9112300309728,0.0,0.0070021340684071,5,,0.0015508860059188,0.0174117875569572,1.0,2.4471368698971987,2.5991961971980073,0.0,1.0,CE,ok,0.05,9,practical_normalized_utopia_distance
r2_p1_c0033,400.0,161.48688534691058,0.0,2,selection,1.0,CANONICAL FINAL | simulation,0.0016772790674993,2.5994416243246143,3.154956049699459e-06,0.0022813247378192,1.990749535107043e-12,1.0408885118771852e-06,True,False,-0.5954010718211775,1.5536598842066784,0.0,-0.0011690226037576,5,,0.0016772790674993,0.0127172565922535,0.0,2.477213891586799,2.5994416243246143,1.0,1.0,CT,ok,0.05,9,practical_normalized_utopia_distance
r2_p1_c0032,64.4925345672687,200.0,0.0,2,selection,1.0,CANONICAL FINAL | simulation,0.0031447226333885,2.5023876875566864,3.306309726050895e-06,0.0001109064087786,2.186336800915749e-12,2.460046301635666e-09,True,False,-0.6658462940787515,0.9192728668418088,0.0,-0.0020289236272507,5,,0.0016772790674993,0.0127172565922535,0.1329208834527833,2.477213891586799,2.5994416243246143,0.2059581357357458,0.24512591648704202,CB,ok,0.05,9,practical_normalized_utopia_distance
r2_p1_c0022,110.34109831588252,0.0,1.0259894209802027,2,selection,1.0,CANONICAL FINAL | simulation,0.0127172565922535,2.477213891586799,3.220988639801883e-06,0.0003461176557315,2.0749535635465565e-12,2.3959486321814692e-08,True,False,-0.6679618902216877,1.0978008451758103,0.0,0.004122507522594,5,,0.0016772790674993,0.0127172565922535,1.0,2.477213891586799,2.5994416243246143,0.0,1.0,CE,ok,0.05,9,practical_normalized_utopia_distance
r3_p1_c0020,400.0,200.0,0.0,3,selection,1.0,CANONICAL FINAL | simulation,0.0015461490099064,2.5978602786940543,3.6210767710289343e-06,0.0028064569832165,2.6224393963370673e-12,1.5752401597289706e-06,True,False,-0.6080988795315081,1.5049003025990089,0.0,-0.0011691321059285,5,,0.0015461490099064,0.021548048879367,0.0,2.474065730851119,2.5978602786940543,1.0,1.0,CT,ok,0.05,14,practical_normalized_utopia_distance
