arm,repeat,JT_budget_rad,count,best_observed_JE
original,0,0.005,5,2.511111441504199
original,0,0.01,8,2.486899728702709
original,0,0.02,10,2.4499830141252756
original,0,0.05,11,2.3881866619146175
expanded,0,0.005,6,2.480289146695068
expanded,0,0.01,6,2.480289146695068
expanded,0,0.02,7,2.4785179984057053
expanded,0,0.05,7,2.4785179984057053
original,1,0.005,5,2.5085886984050325
original,1,0.01,7,2.487334436924778
original,1,0.02,8,2.445295371371118
original,1,0.05,9,2.4249882578562976
expanded,1,0.005,6,2.486597685717744
expanded,1,0.01,8,2.4789832825188234
expanded,1,0.02,8,2.4789832825188234
expanded,1,0.05,9,2.433639369994832
original,2,0.005,5,2.510880333263838
original,2,0.01,9,2.482640609027727
original,2,0.02,11,2.4470818936848837
original,2,0.05,12,2.427354853421339
expanded,2,0.005,6,2.4868731022327464
expanded,2,0.01,7,2.483145431176012
expanded,2,0.02,8,2.4721992900492955
expanded,2,0.05,8,2.4721992900492955
original,3,0.005,7,2.5098024016024456
original,3,0.01,11,2.4775678710745166
original,3,0.02,13,2.4546706243742755
original,3,0.05,14,2.4191100860192463
expanded,3,0.005,6,2.486103373056784
expanded,3,0.01,7,2.4826073654358485
expanded,3,0.02,7,2.4826073654358485
expanded,3,0.05,7,2.4826073654358485
original,4,0.005,5,2.5117499459115313
original,4,0.01,10,2.48638399231502
original,4,0.02,10,2.48638399231502
original,4,0.05,11,2.473731885329724
expanded,4,0.005,9,2.486543875883479
expanded,4,0.01,9,2.486543875883479
expanded,4,0.02,10,2.478700213589761
expanded,4,0.05,11,2.4220526592381524
