Condition,Value
Model,1-DOF geared joint; RE35 323890 / GP42C
N / eta,126 / 0.72
R / L,0.568 ohm / 0.000191 H
Kt / Ke,0.0292 Nm/A / 0.0291 Vs/rad
Jm / Jg,8.12e-6 / 1.4e-6 kg m^2
Link l / mass / COM / payload radius,0.20 m / 0.50 kg / 0.10 m / 0.20 m
Payloads / nominal,"1, 2, 3 kg / 1 kg"
"Jeq (1, 2, 3 kg)","0.19780619, 0.23780619, 0.27780619 kg m^2"
b / g,0.05 Nm s/rad / 9.81 m/s^2
Voltage / current,"±24 V saturation / ±3.84 A peak feasibility, no current clipping"
Trajectory / horizon,"quintic 0→60 deg over full 5 s, no hold"
Control / RK4 step,1 ms / 62.5 microseconds
PID bounds Kp / Ki / Kd,"[0.0, 400.0] / [0.0, 200.0] / [0.0, 40.0]"
Noise variance / sampling,1e-7 rad^2 / 1 ms
Acquisition / repeats / evaluations,qLogNEHVI / 5 / 40 per payload
Initial design,1 zero-PID anchor + 9 Sobol = 10 included in 40
Train / selection / test replicates,"3 / 5 / 10; disjoint phase seeds, paired payload seeds"
Representative tracking criterion,JT <= 0.05 rad; selection only
HV reference / scales (supplementary),"[1 rad,20 J] / [0.1 rad,10 J]"
