repeat,payload,N0,N_local,N_feasible,N_ret,R_P,N_ret_union,R_P_union,HV_transfer,HV_local,L_HV,HV_status,N_transfer_outside_ref,N_local_outside_ref,status,metric_tier,parameter_status
0,1.0,8,8,8,8,100.0,8,100.0,18.350796705311332,18.350796705311332,0.0,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
0,2.0,8,10,8,7,87.5,7,87.5,16.325731395099098,17.195937178541406,5.060531301127498,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
0,3.0,8,15,8,7,87.5,6,75.0,13.656665926665871,16.394865405561042,16.701567296590234,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
1,1.0,10,10,10,10,100.0,10,100.0,18.368166340226058,18.368166340226058,0.0,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
1,2.0,10,8,10,10,100.0,10,100.0,16.420294762153254,16.978073816302473,3.285290546997357,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
1,3.0,10,15,10,10,100.0,10,100.0,13.885787083539777,16.21204301509803,14.34893757308593,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
2,1.0,10,10,10,10,100.0,10,100.0,18.34702298805673,18.34702298805673,0.0,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
2,2.0,10,8,10,10,100.0,10,100.0,16.371835595621228,16.755771214128554,2.2913634568105694,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
2,3.0,10,11,10,9,90.0,9,90.0,13.788134828415195,16.34775503744608,15.657319327135946,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
3,1.0,15,15,15,15,100.0,15,100.0,18.3507796824727,18.3507796824727,0.0,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
3,2.0,15,9,15,14,93.33333333333331,11,73.33333333333333,16.325994728039866,16.535322980744166,1.2659459567138054,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
3,3.0,15,15,15,14,93.33333333333331,9,60.0,13.656664995076689,15.990534553193612,14.595319189318827,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
4,1.0,8,8,8,8,100.0,8,100.0,18.344131678048544,18.344131678048544,0.0,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
4,2.0,8,13,8,8,100.0,8,100.0,16.35187257761127,16.76575242545176,2.4686028836509863,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
4,3.0,8,15,8,8,100.0,8,100.0,13.738195427706042,16.54836634344419,16.981560943334003,ok,0,0,ok,supplementary,CANONICAL FINAL | simulation
