repeat,role,kp,ki,kd,JT,JE,utopia_distance,practical_candidate_count,selection_status
0,CT,400.0,194.59868853157545,0.0,0.0015615883301409,2.59871427033874,1.0,7,ok
0,CB,0.0,192.02347004420923,0.0,0.0041546900451558,2.4805361859133996,0.1409838663317095,7,ok
0,CE,0.0,41.08279400053982,0.0,0.0214288634473312,2.4738829553942763,1.0,7,ok
1,CT,400.0,200.0,0.0,0.0015508860059188,2.5991961971980073,1.0,9,ok
1,CB,0.0,200.0,0.0,0.0040142130659466,2.486597685717744,0.3024329930224323,9,ok
1,CE,65.53073092449537,0.0,0.0,0.0174117875569572,2.4471368698971987,1.0,9,ok
2,CT,400.0,161.48688534691058,0.0,0.0016772790674993,2.5994416243246143,1.0,9,ok
2,CB,64.4925345672687,200.0,0.0,0.0031447226333885,2.5023876875566864,0.245125916487042,9,ok
2,CE,110.34109831588252,0.0,1.0259894209802027,0.0127172565922535,2.477213891586799,1.0,9,ok
3,CT,400.0,200.0,0.0,0.0015461490099064,2.5978602786940543,1.0,14,ok
3,CB,0.0,190.2195841916688,0.0,0.0042043864863074,2.479867645931591,0.1409210892875275,14,ok
3,CE,0.0,40.90938209255775,0.0,0.021548048879367,2.474065730851119,1.0,14,ok
4,CT,400.0,200.0,0.0,0.0015494175187494,2.5970726566537814,1.0,7,ok
4,CB,51.448867678722,197.7503291004093,0.0,0.0032635049495126,2.5008495647536493,0.3113572044778068,7,ok
4,CE,147.41045672773927,0.0,0.0,0.0077718323324835,2.4845152866111713,1.0,7,ok
